asin,"Amazon Prime price","Amazon prime price lowest","Amazon prime inventory if sold by seller via amazon","Lowest buy box price if not prime (includes item cost and shipping cost)","if lowest price is prime or not (y/n)","seller name","seller rating","handlign time (hours)","shipping price","number of sellers (competitor count)"
B000FJRSMO,$13.79,$9.89,Amazon,$9.95,No,A2R2RITDJNW1Q6,0,0,$0.00,9
B093GH41F1,$21.99,$18.39,Amazon,$0.00,No,A294P4X9EWVXLJ,0,0,$0.00,1
B00J9OMPH4,$9.99,$9.99,Amazon,$9.99,yes,A356A2J2CWMTP8,99,0,$0.00,10
B000ZZQMCK,$6.97,$6.97,Amazon,$6.97,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B07Z9Y4M3C,$39.99,$39.99,Amazon,$39.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B071FJ6FBW,$49.95,$30.11,Amazon,$30.11,No,AD4RU3TY2GIT9,0,0,$0.00,19
B007DLVLDY,$9.99,$9.99,Amazon,$0.00,yes,A3I9C9BZPK2NA7,100,0,$0.00,1
B08FFGDQK7,$18.99,$18.99,Amazon,$0.00,yes,A1DHTGX0IO6EG1,100,0,$0.00,1
B006K3Q9IS,$9.74,$5.90,Amazon,$6.09,No,A3V9R9BV19MQT8,0,0,$0.00,18
B01MRH7MR4,$10.47,$9.99,Amazon,$10.47,yes,A1NE20AJAEYXU3,100,0,$0.00,5
B07B33GWJ8,$30.40,$29.99,Amazon,$30.40,yes,A2R2RITDJNW1Q6,90,0,$0.00,4
B074TC9XCS,$19.77,$16.68,Amazon,$16.68,No,A2R2RITDJNW1Q6,0,0,$0.00,2
B07TTDJ2HW,$0.00,$45.69,Yes,$45.69,No,,0,0,$0.00,2
B01N4DUG88,$18.02,$16.91,Amazon,$16.91,No,A2R2RITDJNW1Q6,0,0,$0.00,2
B07Z7YL1BW,$34.98,$28.82,Amazon,$0.00,No,A23Q9037EBN7E,0,0,$0.00,1
B000KVJMT4,$0.00,$15.54,Yes,$15.54,No,,0,0,$0.00,3
B01ALO50BS,$12.27,$12.00,Amazon,$12.27,No,A2R2RITDJNW1Q6,0,0,$0.00,19
B09JBV84D6,$27.30,$27.30,Amazon,$0.00,yes,A16GWWUKBZ8QSE,71,0,$0.00,1
B000LTAY1U,$159.00,$138.99,Amazon,$138.99,No,A1IWWUOGM4ZTE5,0,0,$0.00,10
B001QY8QXM,$11.89,$8.79,Amazon,$8.97,No,A11C50J5I9SKBO,0,0,$0.00,17
B003HG48AC,$8.97,$8.97,Amazon,$8.97,yes,A2R2RITDJNW1Q6,91,0,$0.00,9
B091L5LYSW,$0.00,$6.20,Yes,$6.20,No,,0,0,$0.00,10
B07GB7CDXS,$14.99,$14.99,Amazon,$0.00,yes,A22N58HS38V171,99,0,$0.00,1
B07D9C8NP2,$14.99,$12.99,Amazon,$0.00,No,A294P4X9EWVXLJ,0,0,$0.00,1
B000MV919I,$14.99,$9.99,Amazon,$9.99,yes,A1XERF4A31OARJ,99,0,$0.00,3
B08NJR6RX2,$49.99,$49.98,Amazon,$0.00,yes,A2JACTDYXT09RB,100,0,$0.00,1
B07PWX77V1,$30.99,$30.99,Amazon,$30.99,yes,AZNJ637PM9JP,99,0,$0.00,1
B01HI7VY84,$23.99,$18.88,Amazon,$19.68,No,A2Q1DGWKW2N9S3,0,0,$0.00,18
B07QR6Z1JB,$114.93,$105.00,Yes,$105.00,No,A3M2O3U6L5DL0B,0,0,$0.00,20
B000VA90FU,$6.49,$5.54,Amazon,$6.49,No,A1TWQJBI5MBK5Y,0,0,$0.00,18
B000QD3GPW,$9.78,$9.78,Amazon,$9.78,yes,A2R2RITDJNW1Q6,91,0,$0.00,13
B073ZP1VYW,$19.99,$8.99,Amazon,$8.99,yes,A1QNH3ME7CBIRO,91,0,$0.00,4
B088PN22BG,$9.99,$9.99,Amazon,$0.00,yes,A3RPLCYE3EWQ8W,100,0,$0.00,1
B075LK75FZ,$21.77,$21.77,Amazon,$21.77,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B00Z83E1EK,$5.99,$4.00,Yes,$5.99,No,A2R2RITDJNW1Q6,0,0,$0.00,4
B07RNFZ9KT,$13.21,$11.85,Amazon,$11.85,yes,A3AUTDG6CSQCKP,100,0,$0.00,15
B007U54P36,$34.99,$34.99,Amazon,$34.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B00UJ78S7G,$59.99,$59.99,Amazon,$59.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B0016OG7WO,$0.00,$12.02,Yes,$12.02,No,,0,0,$0.00,11
B073VNCFLN,$9.99,$9.99,Amazon,$0.00,yes,A37ZIFOVUL81ZC,96,0,$0.00,1
B08HLT126L,$22.99,$22.99,Amazon,$0.00,yes,A2GX6R2LTB09G1,95,0,$0.00,2
B01N6ZJH96,$25.59,$19.99,Amazon,$0.00,No,A2YNUEXBGH2YRR,0,0,$0.00,1
B071RCMQNG,$19.99,$18.00,Amazon,$19.99,No,A330Y8X7O1532T,0,0,$0.00,3
B0924LYBNJ,$0.00,$13.22,Yes,$13.22,No,,0,0,$0.00,1
B0198ZWRV2,$9.70,$6.99,Amazon,$6.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,11
B077H58DWD,$21.66,$18.99,Amazon,$18.99,yes,A2R2RITDJNW1Q6,94,0,$0.00,8
B0057D87SW,$0.00,$10.20,Yes,$10.20,No,,0,0,$0.00,8
B0006GF5SK,$10.10,$10.10,Amazon,$10.10,yes,A2R2RITDJNW1Q6,91,0,$0.00,18
B01CE7D8BY,$12.00,$10.39,Amazon,$11.40,yes,A21O7ASC2DKBUN,97,0,$0.00,20
B0018SGX6I,$7.13,$6.88,Amazon,$6.88,yes,AFA14MRNSXNMH,99,0,$0.00,15
B000YIA1B6,$13.58,$10.48,Amazon,$10.48,No,A2R2RITDJNW1Q6,0,0,$0.00,9
B00F6XZZMY,$95.89,$95.89,Amazon,$0.00,yes,A2SBTN6UWZSDYI,99,0,$0.00,1
B07NV4K6ST,$17.99,$17.99,Amazon,$0.00,yes,A2V7SWDL7C4TSV,100,0,$0.00,1
B009UU83GO,$12.19,$5.89,Amazon,$12.19,No,A2MCFV05G0SAAL,0,0,$0.00,7
B002L82B2O,$8.99,$8.99,Amazon,$0.00,yes,A269KOXSF2O10,98,0,$0.00,1
B07CQCLH2M,$34.99,$34.99,Amazon,$0.00,yes,AB36QB4W8KF8G,93,0,$0.00,1
B000NG889Q,$10.49,$10.49,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B06ZYKRQJQ,$70.00,$45.99,Amazon,$47.99,yes,A3RPSORZI209DC,99,0,$0.00,20
B00913DY3W,$6.80,$6.79,Amazon,$6.80,No,A2R2RITDJNW1Q6,0,0,$0.00,4
B01G30J8JY,$23.89,$23.89,Amazon,$0.00,yes,A2KDBGPI4VU5M7,100,0,$0.00,1
B07XTNX6DT,$10.99,$6.84,Amazon,$6.84,yes,A2Q4M1IAS4TNL5,91,24,$0.00,13
B01J7RZVI2,$22.00,$16.00,Amazon,$16.00,No,A1L20VLUF9SNKD,0,0,$0.00,3
B082LSWPFJ,$8.99,$8.99,Amazon,$0.00,yes,A2Q9V3OH0RGPWH,100,0,$0.00,1
B00MONK1AK,$22.99,$10.32,Amazon,$10.32,No,AHYXJ4PNTTWT9,0,0,$0.00,2
B001ET7G9E,$18.98,$18.98,Amazon,$18.98,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B08P6SYWVV,$35.00,$35.00,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B00006IFBF,$19.74,$13.89,Amazon,$13.89,yes,A2KJY6QAYLTSBP,91,0,$0.00,20
B07MLL5KXT,$10.99,$9.99,Amazon,$0.00,yes,A146GR0H974J9E,100,0,$0.00,2
B07FJVHK67,$92.00,$92.00,Amazon,$92.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B00VATA208,$43.95,$43.80,Amazon,$43.80,yes,A1IWWUOGM4ZTE5,99,0,$0.00,4
B08L5Q6K5T,$59.99,$42.31,Amazon,$48.99,No,A6KB9KFIKFLQS,0,0,$0.00,19
B09J7ZL3V7,$19.97,$15.13,Amazon,$0.00,No,ANJ4NP76PE7MX,0,0,$0.00,1
B0827TDT99,$31.97,$28.99,Amazon,$28.99,yes,A1IWWUOGM4ZTE5,99,0,$0.00,2
B00E9OXJUQ,$15.80,$14.23,Amazon,$14.23,yes,A2T9OPY6LNVZPY,98,0,$0.00,8
B002MY9E86,$0.00,$12.35,Yes,$12.35,No,,0,0,$0.00,4
B09B99P47M,$9.99,$9.99,Amazon,$0.00,yes,A187VNTBT0R1FV,95,0,$0.00,1
B073P892ML,$9.99,$9.84,Amazon,$9.98,No,A2R2RITDJNW1Q6,0,0,$0.00,14
B0192R5196,$7.45,$7.32,Amazon,$7.44,No,A30VJGVO32V751,0,0,$0.00,10
B07WRYJZG4,$19.22,$19.22,Amazon,$19.22,yes,A1AHTEIRMMYRG6,97,0,$0.00,3
B07SB5WQJ2,$10.63,$10.63,Amazon,$0.00,yes,A2IP67LLHD15YQ,100,0,$0.00,1
B09DNV7RVT,$10.95,$10.95,Amazon,$0.00,yes,A2OCI95E8PIUXN,100,0,$0.00,1
B08H22JLBV,$18.99,$15.48,Amazon,$0.00,No,A1NYL5NE5VSTVS,0,0,$0.00,1
B073H1J8VW,$9.99,$9.99,Amazon,$0.00,yes,AFQ7H6MK8RRAN,100,0,$0.00,1
B073XZT971,$9.99,$9.99,Amazon,$0.00,yes,A246TGGP85L0JO,99,0,$0.00,1
B0007MW2ZW,$24.48,$15.49,Amazon,$15.49,yes,A1CRK49PNIZNNS,100,0,$0.00,11
B00LHT4WAC,$5.49,$5.29,Amazon,$5.49,No,A2R2RITDJNW1Q6,0,0,$0.00,12
B081KY1Q3P,$17.90,$17.90,Amazon,$0.00,yes,AZELGP6L5MYT0,91,0,$0.00,1
B00430EJR8,$10.99,$7.63,Amazon,$7.63,yes,A1C98H3E7SHO4O,99,0,$0.00,12
B001E977W0,$11.40,$10.60,Amazon,$11.40,No,A12ZT4ZURPEEJ7,0,0,$0.00,4
B08ZNLB53Q,$299.95,$212.49,Amazon,$212.49,yes,A2AD3LSP8VX07O,91,0,$0.00,11
B07CVCBQ72,$12.99,$10.99,Amazon,$0.00,yes,AALT8W04XJHEK,95,0,$0.00,2
B00AXBNWX8,$35.00,$19.99,Amazon,$19.99,yes,A26BY5W1GFZH6G,100,0,$0.00,7
B07VJNTQFD,$18.99,$15.12,Amazon,$18.99,No,A203A0BFFS3DPE,0,0,$0.00,3
B07ML3VFYP,$39.99,$37.81,Amazon,$0.00,No,AAF51Q3JWARL4,0,0,$0.00,1
B084R7TT9C,$14.99,$13.99,Amazon,$13.99,yes,A2K66LN627KJ9C,98,0,$0.00,11
B008CSDKSQ,$9.98,$8.68,Amazon,$0.00,No,A2R2RITDJNW1Q6,0,0,$0.00,1
B074X4GDXB,$6.99,$4.34,Amazon,$6.99,No,A7W29T6DYXHW2,0,0,$0.00,6
B07G4FSNN3,0,0,,0,No,,0,0,0,0
B07N2BC377,$11.29,$11.29,Amazon,$11.29,yes,A2R2RITDJNW1Q6,91,0,$0.00,8
B00HZ74H6E,$36.00,$36.00,Amazon,$0.00,yes,A2UT186C0A8121,96,0,$0.00,1
B00TF7ZZM2,$6.96,$6.10,Amazon,$6.10,yes,A3IRLJR6T57DXZ,98,0,$0.00,10
B008B39EMI,$21.49,$21.25,Amazon,$21.49,No,AN18IKOLH4FTL,0,0,$0.00,14
B0792L2PQT,$39.50,$34.99,Amazon,$34.99,yes,A2KQLEDQ03MHUW,99,0,$0.00,5
B00D3NI72Y,$19.99,$14.16,Amazon,$14.16,No,A1K8COY9WNUVGG,0,0,$0.00,5
B005C66X4E,$26.00,$26.00,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B09YD1G98B,$12.59,$12.59,Amazon,$0.00,yes,A3K1NPKUBLX9JU,100,0,$0.00,1
B007IV5W5C,$17.40,$9.66,Amazon,$9.66,No,A35BKAA6VXTYCT,0,0,$0.00,20
B01LZKM401,$11.99,$11.99,Amazon,$11.99,yes,A2R2RITDJNW1Q6,100,1008,$0.00,9
B007DGRT3K,$0.00,$10.32,Amazon,$10.32,No,,0,0,$0.00,6
B07XT3WH5K,$9.99,$9.99,Amazon,$0.00,yes,AA8TIIFIS773E,95,0,$0.00,1
B0036FTF7K,$88.00,$72.18,Amazon,$72.18,yes,A1B5LC3G4BASP,95,0,$0.00,7
B07GZYR18N,$27.99,$27.99,Amazon,$0.00,yes,APEAX1A1GA6HO,100,0,$0.00,1
B08QG2L3FQ,$13.90,$13.48,Amazon,$0.00,No,A2R2RITDJNW1Q6,0,0,$0.00,1
B086KXFH7D,$19.99,$19.99,Amazon,$19.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B001AV0JOA,$12.38,$11.86,Amazon,$12.04,No,A2R2RITDJNW1Q6,0,0,$0.00,6
B09CLLQ7XJ,$20.47,$20.47,Amazon,$20.47,yes,AEO1YSQ570UWR,92,0,$0.00,1
B00115UN9Q,$9.00,$8.99,Amazon,$9.00,No,A2R2RITDJNW1Q6,0,0,$0.00,2
B011575QL4,$11.74,$8.64,Amazon,$10.00,No,A21BBMEF3BMW1Z,0,0,$0.00,7
B004XGPM32,$18.49,$18.49,Amazon,$18.49,yes,AKTXV0BP00BYV,85,0,$0.00,5
B07W57WXBM,$0.00,$249.00,Yes,$249.00,No,,0,0,$0.00,1
B004MAJMZI,$29.78,$23.69,Amazon,$29.78,No,A2R2RITDJNW1Q6,0,0,$0.00,3
B006QQRJJ2,$0.00,$27.99,Yes,$29.49,No,,0,0,$0.00,2
B089NCFBQZ,$24.87,$9.99,Amazon,$9.99,yes,A3KU532348C110,91,0,$0.00,20
B0020MMG94,$0.00,$38.88,Yes,$38.88,No,,0,0,$0.00,11
B0009EIMX4,$4.97,$4.97,Amazon,$4.97,yes,A2R2RITDJNW1Q6,91,0,$0.00,9
B00BXKXTB8,$47.68,$42.54,Amazon,$42.54,yes,A2E28W8GYQDEY1,91,0,$0.00,7
B002RJPLQK,$12.72,$9.31,Amazon,$9.31,yes,A2C7B1N8WIOKBN,98,0,$0.00,19
B08BR86LR3,$48.69,$35.88,Amazon,$39.99,No,A16HZ3J3WEU71V,0,0,$0.00,8
B08429B5DP,$9.99,$9.99,Amazon,$0.00,yes,A28R6SRNIHBR0G,100,0,$0.00,1
B00B86CV3Y,$25.99,$15.99,Amazon,$16.00,yes,A1EX3N1JPQTCBL,80,0,$0.00,20
B000R2WSLU,$0.00,$15.99,Yes,$15.99,No,,0,0,$0.00,3
B07BHMY9VR,$22.99,$22.99,Amazon,$0.00,yes,A1DXC87HHX3476,100,0,$0.00,1
B07X9ZSCD8,$23.99,$23.99,Amazon,$0.00,yes,A38U620NCMYZK4,100,0,$0.00,1
B000S6HZCC,$23.05,$16.62,Amazon,$23.05,No,A2R2RITDJNW1Q6,0,0,$0.00,19
B007ZYRABG,$33.03,$29.74,Amazon,$33.03,No,A16HE43AW0CVUN,0,0,$0.00,3
B001FWXJ1E,$39.49,$37.74,Amazon,$39.49,No,A1EX3N1JPQTCBL,0,0,$0.00,4
B08BK69B78,$11.99,$11.99,Amazon,$0.00,yes,A1GX0S6R4WTY0X,100,0,$0.00,1
B077CRQ8SG,$14.99,$14.99,Amazon,$0.00,yes,A3HZVTAFCEA1AI,97,0,$0.00,1
B00N4GYBPC,$14.21,$10.05,Amazon,$10.05,No,AD013J7BPKC03,0,0,$0.00,19
B01N67GAGC,$22.99,$20.99,Amazon,$0.00,yes,A3ONLCJ4888948,100,0,$0.00,1
B09DT81LM7,$24.90,$12.96,Amazon,$12.96,yes,A1YYUN88D420PV,91,0,$0.00,8
B009SANMNU,$0.00,$34.10,Amazon,$34.10,No,,0,0,$0.00,19
B003BF7SME,$9.99,$8.95,Amazon,$9.89,No,A2R2RITDJNW1Q6,0,0,$0.00,18
B01GRV1AJ0,$18.99,$8.19,Amazon,$8.19,yes,A1ANC9CJW2A4N0,91,0,$0.00,18
B01EKKATEC,$33.96,$32.00,Amazon,$0.00,yes,A2R2RITDJNW1Q6,99,0,$0.00,7
B000W7H72A,$8.00,$8.00,Amazon,$8.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B07PTSZ43T,$14.59,$6.49,Amazon,$10.39,No,A23NLCGAWEIV8G,0,0,$0.00,7
B01CEFESRO,$26.99,$21.66,Amazon,$21.66,No,A2R2RITDJNW1Q6,0,0,$0.00,10
B00L32Q5SU,$57.39,$42.86,Amazon,$45.00,No,A1RHK13Y299VP5,0,0,$0.00,13
B006CVXR10,$20.80,$18.72,Amazon,$18.72,yes,A19Y6EEY9IL19R,98,0,$0.00,12
B08WT5MVV2,$56.99,$56.99,Amazon,$56.99,yes,A3KA3EG50C2R0F,95,0,$0.00,1
B0813T5ZB7,$125.00,$118.00,Amazon,$125.00,No,A2N1A581RPHNSW,0,0,$0.00,4
B07NQS465R,$25.19,$21.34,Amazon,$21.34,yes,A3JZCHWTGPHCAS,91,0,$0.00,20
B0856TVCYY,$36.18,$14.92,Amazon,$18.13,No,A38EOF615O449I,0,0,$0.00,5
B08HDS8GW1,$6.89,$6.89,Amazon,$6.89,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B01AFQJRN4,$11.48,$11.48,Amazon,$11.48,yes,A2R2RITDJNW1Q6,91,0,$0.00,5
B07PBXKHRX,$26.99,$23.29,Amazon,$0.00,No,A1BTIUZWD5KNGM,0,0,$0.00,1
B00AURSFXM,$44.98,$43.90,Amazon,$44.98,No,A1EB7WXOX92OFE,0,0,$0.00,6
B07VCFT876,$15.48,$15.48,Amazon,$15.48,yes,A2R2RITDJNW1Q6,91,0,$0.00,5
B004B8GTQG,$13.01,$12.99,Amazon,$13.01,yes,A2R2RITDJNW1Q6,98,0,$0.00,8
B0828JCKS9,$11.99,$10.66,Amazon,$10.69,No,A2NT30FNA6HH1H,0,0,$0.00,19
B000BJSF6Q,$16.48,$12.62,Amazon,$12.63,yes,ATMF2AFOMI2H2,97,0,$0.00,17
B08GHBKY6S,$17.99,$6.50,Amazon,$6.50,No,A1TWYVWG4QDVKK,0,0,$0.00,19
B0002RID4G,$11.99,$9.39,Amazon,$9.39,yes,A3IHKY7SIZWHAP,92,0,$0.00,6
B07JP2LXR8,$52.49,$50.20,Amazon,$50.99,No,A2AW76N07K97WQ,0,0,$0.00,20
B07VQ92YLB,$17.77,$10.61,Amazon,$10.61,yes,A6OI8FUKF9ZY5,91,0,$0.00,4
B092LT2JTY,$69.00,$69.00,Amazon,$0.00,yes,A3CSAYA4MI36OG,83,0,$0.00,1
B00YU7L0YE,$23.50,$14.25,Yes,$15.39,No,A8CCCLUK0V97S,0,0,$0.00,15
B004O25R8A,$34.00,$30.29,Amazon,$34.00,No,A1D1TET0VPLKBB,0,0,$0.00,20
B07Y86RTS8,$10.99,$9.25,Amazon,$0.00,No,A3CPWTUVMCBCBY,0,0,$0.00,1
B08FX4WSFC,$22.99,$14.99,Amazon,$0.00,yes,A2OZSWFZEI9O5E,100,0,$0.00,2
B074N2Y15P,$95.00,$95.00,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B094R8DJFF,$54.99,$32.99,Amazon,$32.99,No,A39FJ9J1894RQ6,0,0,$0.00,17
B07CJT1LWT,$29.99,$28.35,Amazon,$28.35,No,A1HOKJUAK129L9,0,0,$0.00,1
B01HID4YYY,$13.25,$11.66,Amazon,$11.66,No,A1QMEFSRMS1YA8,0,0,$0.00,5
B003IJ7S00,$9.25,$8.99,Amazon,$9.25,No,A2R2RITDJNW1Q6,0,0,$0.00,2
B019G9OTYI,$8.79,$7.99,Amazon,$7.99,yes,A2R2RITDJNW1Q6,100,0,$0.00,12
B00LUTZN2A,$29.40,$29.40,Amazon,$29.40,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B01FE4JYLC,$14.71,$8.95,Amazon,$8.99,No,A2X114PLNGRIQ3,0,0,$0.00,5
B000WIGQJO,$29.99,$20.90,Amazon,$27.11,No,A33HDSQWOMED4X,0,0,$0.00,20
B00Q68NNL8,$0.00,$12.53,Yes,$12.53,No,,0,0,$0.00,6
B07C4V2GG3,$14.88,$14.88,Amazon,$0.00,yes,AGNOFRW3GZ8C9,91,0,$0.00,1
B0B79JH85W,$39.99,$39.99,Amazon,$0.00,yes,A1V79SSKRX1FMV,100,0,$0.00,1
B07R3S8F8K,$18.99,$17.99,Amazon,$0.00,yes,A33NYUKPLORE2P,100,0,$0.00,3
B071DNRC63,$29.95,$29.95,Amazon,$0.00,yes,A2D1JPNLBNWUHO,99,0,$0.00,1
B07GLFX4RH,$51.72,$51.55,Amazon,$51.72,No,A1N41BH9GD0CMT,0,0,$0.00,10
B07Z88FZM1,$0.00,$52.02,Amazon,$62.06,No,,0,0,$0.00,3
B07K36F67Y,$10.00,$8.00,Amazon,$8.00,No,A2NMCOG048OBW9,0,0,$0.00,19
B08149FMTG,$27.99,$24.99,Amazon,$0.00,No,A2KZ7X05DCDJDL,0,0,$0.00,1
B01FMRRVAC,$40.99,$40.99,Amazon,$40.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B003VJVSPS,$13.99,$13.99,Amazon,$13.99,yes,A1F52QBYCH0O7,97,0,$0.00,14
B003TJCVGK,$11.49,$7.36,Amazon,$8.95,No,A2R2RITDJNW1Q6,0,0,$0.00,17
B000JN81XQ,$59.00,$28.91,Amazon,$28.91,yes,A3RP6T2PWD00WA,99,0,$0.00,11
B081RC4MW8,$16.28,$16.28,Amazon,$16.28,yes,A2PSI981BR43AS,90,0,$0.00,5
B003F86SWI,$15.00,$12.70,Amazon,$13.00,No,A1A5N8MG6EKN8U,0,0,$0.00,15
B08176ZHJS,$26.50,$26.50,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B01MF756LY,$9.98,$9.80,Amazon,$9.80,yes,A1DY10IS9DXX76,93,0,$0.00,8
B018S68QZ8,$8.59,$8.38,Amazon,$8.38,yes,A2R2RITDJNW1Q6,100,0,$0.00,12
B001NIZ5UI,$10.31,$10.31,Amazon,$10.31,yes,A2R2RITDJNW1Q6,91,0,$0.00,4
B076WJXJBG,$15.99,$15.99,Amazon,$15.99,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B003DN1WJY,$19.99,$14.98,Amazon,$14.98,yes,AJCK9KQB9DALN,91,0,$0.00,20
B0979SYYCL,$44.95,$44.95,Amazon,$0.00,yes,A1W3T4XSSV4J7,85,0,$0.00,1
B075NC2PT7,$8.99,$7.99,Amazon,$0.00,yes,A3PMRM7XEU5XK2,100,0,$0.00,1
B01MZ1BD5G,$11.99,$7.99,Amazon,$9.98,yes,A1U73P0DUKAGM8,100,42,$0.00,6
B00IGIUOWC,$23.99,$22.92,Amazon,$22.92,yes,AKZDRLCEH09FL,100,0,$0.00,19
B00I2F5Q54,$23.00,$23.00,Amazon,$0.00,yes,A1G6873FU5XCA2,93,0,$0.00,1
B088HJ82YL,$34.89,$30.99,Amazon,$31.34,No,A33VQ3FX4C78G7,0,0,$0.00,11
B096WKHNFL,$19.92,$17.00,Amazon,$17.00,yes,A39VPVZ31R682M,99,0,$0.00,3
B01MG0ORBL,$19.99,$19.89,Amazon,$19.99,yes,A2R2RITDJNW1Q6,99,0,$0.00,3
B01MT7PCNI,$15.60,$15.60,Amazon,$15.60,yes,A2R2RITDJNW1Q6,91,0,$0.00,3
B073W9S8DL,$13.99,$10.42,Amazon,$0.00,No,A2SJIH7M6QC12W,0,0,$0.00,1
B00199HZ40,$13.93,$13.93,Amazon,$13.93,yes,A3LBLF2XHWZD2I,98,0,$0.00,3
B08B7TZY6K,$68.55,$58.63,Amazon,$58.66,No,A3VW57U14CLZYV,0,0,$0.00,19
B004C053BU,$5.94,$5.94,Amazon,$5.94,yes,A2R2RITDJNW1Q6,91,0,$0.00,4
B06XRNV4G2,$8.99,$8.99,Amazon,$0.00,yes,AJTYHPOY359XM,100,0,$0.00,1
B005SD1Z1M,$0.00,$2.00,Amazon,$6.00,No,,0,0,$0.00,7
B07JZWS4Q9,$10.25,$10.00,Amazon,$10.00,yes,A2R2RITDJNW1Q6,97,0,$0.00,3
B016D9IGRA,$44.32,$43.43,Amazon,$44.32,No,A1XRNU89OY7Y7D,0,0,$0.00,6
B000JEAYT4,$3.79,$3.79,Amazon,$3.79,yes,A2R2RITDJNW1Q6,91,0,$0.00,4
B001A3BLC2,$7.80,$6.05,Amazon,$6.17,No,A2IY9GRPU8DT1O,0,0,$0.00,6
B09HF7TW8J,$63.20,$63.20,Amazon,$63.20,yes,A2R2RITDJNW1Q6,91,0,$0.00,2
B085DRTCPJ,$12.95,$4.87,Amazon,$4.87,No,A2Z8CFQ803F9B3,0,0,$0.00,6
B07RBNFG6N,$42.79,$41.79,Amazon,$41.79,yes,A1IWWUOGM4ZTE5,99,0,$0.00,6
B0000AXW0Z,$17.09,$16.41,Amazon,$16.41,No,A2R2RITDJNW1Q6,0,0,$0.00,5
B000HHLL1I,$5.02,$5.02,Amazon,$0.00,yes,A2R2RITDJNW1Q6,91,0,$0.00,1
B0011Z1VUG,$7.89,$7.89,Amazon,$7.89,yes,A2KCEXGIPDO1NM,98,0,$0.00,17
B081GH2QXP,$10.59,$10.59,Amazon,$0.00,yes,A251OQBZBVG6CL,100,0,$0.00,1
B093CGD8QP,$28.99,$24.49,Amazon,$0.00,yes,A18RXJ5LBUB3CE,98,0,$0.00,1
